Name,Address,Food Type,Price Range,Smile Score,Cry Score,Promotions,Contact,Opening Hours,URL
Gekiyasu Yakiniku,Gekiyasu Yakiniku,Tsim Sha Tsui / Japanese / Wine / $401-800,$401-800,601,6,mediaItemThumbnail,98788065,12:00 - 16:0017:30 - 23:30,https://www.openrice.com/en/hongkong/r-gekiyasu-yakiniku-tsim-sha-tsui-japanese-wine-r691566
Tearapy,Tearapy,Mong Kok / International / Coffee Shop / $101-200,$101-200,1390,55,mediaItemThumbnail,29891707,12:00 - 22:00,https://www.openrice.com/en/hongkong/r-tearapy-mong-kok-international-r558545
Milu Thai มิลู่ไทย (百樂中心),Milu Thai มิลู่ไทย (百樂中心),Causeway Bay / Thai / Seafood / $101-200,$101-200,1378,14,"mediaItemThumbnail, Most Bookmarked restaurant No.3",28850060,12:00 - 22:30,https://www.openrice.com/en/hongkong/r-milu-thai-%E0%B8%A1%E0%B8%B4%E0%B8%A5%E0%B8%B9%E0%B9%88%E0%B9%84%E0%B8%97%E0%B8%A2-causeway-bay-thai-seafood-r588815
Sun Moon Church,Sun Moon Church,Kwun Tong / Taiwan / Noodles/Rice Noodles / $51-100,$51-100,899,17,mediaItemThumbnail,63719639,12:00 - 21:00,https://www.openrice.com/en/hongkong/r-sun-moon-church-kwun-tong-taiwan-noodles-rice-noodles-r682226
Poach,Poach,Mong Kok / Japanese / Western / $101-200,$101-200,754,52,mediaItemThumbnail,92209785,12:00 - 22:00,https://www.openrice.com/en/hongkong/r-poach-mong-kok-western-r657974
Gram Cafe & Pancakes,Gram Cafe & Pancakes,Tsim Sha Tsui / Western / Cake / $101-200,$101-200,1385,159,mediaItemThumbnail,23684588,11:30 - 23:00,https://www.openrice.com/en/hongkong/r-gram-cafe-pancakes-tsim-sha-tsui-western-cake-r561189
INN - I’m Not Nothing (裕民坊YM²),INN - I’m Not Nothing (裕民坊YM²),Kwun Tong / International / Coffee Shop / $101-200,$101-200,921,20,"mediaItemThumbnail, Dine and earn miles at this Cathay partner restaurant !",29888289,12:00 - 22:00,https://www.openrice.com/en/hongkong/r-inn-i-m-not-nothing-kwun-tong-international-r705247
Boholic,Boholic,Cheung Sha Wan / International / Coffee Shop / $101-200,$101-200,1484,47,mediaItemThumbnail,23883668,11:30 - 22:00,https://www.openrice.com/en/hongkong/r-boholic-cheung-sha-wan-international-r670110
Lady Nara,Lady Nara,Tsim Sha Tsui / Thai / $101-200,$101-200,871,27,mediaItemThumbnail,21533730,11:30 - 22:00,https://www.openrice.com/en/hongkong/r-lady-nara-tsim-sha-tsui-thai-r688973
JUST'er Bar & Restaurant,JUST'er Bar & Restaurant,Tsim Sha Tsui / Western / Seafood / $101-200,$101-200,1471,36,mediaItemThumbnail,23415628,12:00 - 23:00,https://www.openrice.com/en/hongkong/r-juster-bar-restaurant-tsim-sha-tsui-western-seafood-r621040
The Pearl,The Pearl,Tsim Sha Tsui / International / Hotel Restaurant / $201-400,$201-400,924,14,mediaItemThumbnail,53281503,12:00 - 02:00,https://www.openrice.com/en/hongkong/r-the-pearl-tsim-sha-tsui-international-r686455
Flames (海濱匯),Flames (海濱匯),Kwun Tong / International / $101-200,$101-200,976,23,mediaItemThumbnail,28976638,12:00 - 22:00,https://www.openrice.com/en/hongkong/r-flames-kwun-tong-international-r649544
Nara Thai Cuisine (港威商場),Nara Thai Cuisine (港威商場),Tsim Sha Tsui / Thai / $101-200,$101-200,742,18,mediaItemThumbnail,21533660,11:30 - 22:00,https://www.openrice.com/en/hongkong/r-nara-thai-cuisine-tsim-sha-tsui-thai-r690836
Doctor Beans,Doctor Beans,Kwun Tong / Taiwan / Taiwanese Drink / $51-100,$51-100,1175,29,mediaItemThumbnail,35759455,11:30 - 21:30,https://www.openrice.com/en/hongkong/r-doctor-beans-kwun-tong-taiwan-taiwanese-drink-r563292
Yuki House Ramen,Yuki House Ramen,Wan Chai / Japanese / Ramen / $51-100,$51-100,935,26,mediaItemThumbnail,28683091,11:00 - 16:0017:30 - 22:00,https://www.openrice.com/en/hongkong/r-yuki-house-ramen-wan-chai-japanese-ramen-r530978
Gekiyasu Yakiniku,Gekiyasu Yakiniku,Tsim Sha Tsui / Japanese / Wine / $401-800,$401-800,601,6,mediaItemThumbnail,98788065,12:00 - 16:0017:30 - 23:30,https://www.openrice.com/en/hongkong/r-gekiyasu-yakiniku-tsim-sha-tsui-japanese-wine-r691566
Tearapy,Tearapy,Mong Kok / International / Coffee Shop / $101-200,$101-200,1390,55,mediaItemThumbnail,29891707,12:00 - 22:00,https://www.openrice.com/en/hongkong/r-tearapy-mong-kok-international-r558545
Milu Thai มิลู่ไทย (百樂中心),Milu Thai มิลู่ไทย (百樂中心),Causeway Bay / Thai / Seafood / $101-200,$101-200,1378,14,"mediaItemThumbnail, Most Bookmarked restaurant No.3",28850060,12:00 - 22:30,https://www.openrice.com/en/hongkong/r-milu-thai-%E0%B8%A1%E0%B8%B4%E0%B8%A5%E0%B8%B9%E0%B9%88%E0%B9%84%E0%B8%97%E0%B8%A2-causeway-bay-thai-seafood-r588815
Sun Moon Church,Sun Moon Church,Kwun Tong / Taiwan / Noodles/Rice Noodles / $51-100,$51-100,899,17,mediaItemThumbnail,63719639,12:00 - 21:00,https://www.openrice.com/en/hongkong/r-sun-moon-church-kwun-tong-taiwan-noodles-rice-noodles-r682226
Poach,Poach,Mong Kok / Japanese / Western / $101-200,$101-200,754,52,mediaItemThumbnail,92209785,12:00 - 22:00,https://www.openrice.com/en/hongkong/r-poach-mong-kok-western-r657974
Gram Cafe & Pancakes,Gram Cafe & Pancakes,Tsim Sha Tsui / Western / Cake / $101-200,$101-200,1385,159,mediaItemThumbnail,23684588,11:30 - 23:00,https://www.openrice.com/en/hongkong/r-gram-cafe-pancakes-tsim-sha-tsui-western-cake-r561189
INN - I’m Not Nothing (裕民坊YM²),INN - I’m Not Nothing (裕民坊YM²),Kwun Tong / International / Coffee Shop / $101-200,$101-200,921,20,"mediaItemThumbnail, Dine and earn miles at this Cathay partner restaurant !",29888289,12:00 - 22:00,https://www.openrice.com/en/hongkong/r-inn-i-m-not-nothing-kwun-tong-international-r705247
Boholic,Boholic,Cheung Sha Wan / International / Coffee Shop / $101-200,$101-200,1484,47,mediaItemThumbnail,23883668,11:30 - 22:00,https://www.openrice.com/en/hongkong/r-boholic-cheung-sha-wan-international-r670110
Lady Nara,Lady Nara,Tsim Sha Tsui / Thai / $101-200,$101-200,871,27,mediaItemThumbnail,21533730,11:30 - 22:00,https://www.openrice.com/en/hongkong/r-lady-nara-tsim-sha-tsui-thai-r688973
JUST'er Bar & Restaurant,JUST'er Bar & Restaurant,Tsim Sha Tsui / Western / Seafood / $101-200,$101-200,1471,36,mediaItemThumbnail,23415628,12:00 - 23:00,https://www.openrice.com/en/hongkong/r-juster-bar-restaurant-tsim-sha-tsui-western-seafood-r621040
The Pearl,The Pearl,Tsim Sha Tsui / International / Hotel Restaurant / $201-400,$201-400,924,14,mediaItemThumbnail,53281503,12:00 - 02:00,https://www.openrice.com/en/hongkong/r-the-pearl-tsim-sha-tsui-international-r686455
Flames (海濱匯),Flames (海濱匯),Kwun Tong / International / $101-200,$101-200,976,23,mediaItemThumbnail,28976638,12:00 - 22:00,https://www.openrice.com/en/hongkong/r-flames-kwun-tong-international-r649544
Nara Thai Cuisine (港威商場),Nara Thai Cuisine (港威商場),Tsim Sha Tsui / Thai / $101-200,$101-200,742,18,mediaItemThumbnail,21533660,11:30 - 22:00,https://www.openrice.com/en/hongkong/r-nara-thai-cuisine-tsim-sha-tsui-thai-r690836
Doctor Beans,Doctor Beans,Kwun Tong / Taiwan / Taiwanese Drink / $51-100,$51-100,1175,29,mediaItemThumbnail,35759455,11:30 - 21:30,https://www.openrice.com/en/hongkong/r-doctor-beans-kwun-tong-taiwan-taiwanese-drink-r563292
Yuki House Ramen,Yuki House Ramen,Wan Chai / Japanese / Ramen / $51-100,$51-100,935,26,mediaItemThumbnail,28683091,11:00 - 16:0017:30 - 22:00,https://www.openrice.com/en/hongkong/r-yuki-house-ramen-wan-chai-japanese-ramen-r530978
Gekiyasu Yakiniku,Gekiyasu Yakiniku,Tsim Sha Tsui / Japanese / Wine / $401-800,$401-800,601,6,mediaItemThumbnail,98788065,12:00 - 16:0017:30 - 23:30,https://www.openrice.com/en/hongkong/r-gekiyasu-yakiniku-tsim-sha-tsui-japanese-wine-r691566
Tearapy,Tearapy,Mong Kok / International / Coffee Shop / $101-200,$101-200,1390,55,mediaItemThumbnail,29891707,12:00 - 22:00,https://www.openrice.com/en/hongkong/r-tearapy-mong-kok-international-r558545
Milu Thai มิลู่ไทย (百樂中心),Milu Thai มิลู่ไทย (百樂中心),Causeway Bay / Thai / Seafood / $101-200,$101-200,1378,14,"mediaItemThumbnail, Most Bookmarked restaurant No.3",28850060,12:00 - 22:30,https://www.openrice.com/en/hongkong/r-milu-thai-%E0%B8%A1%E0%B8%B4%E0%B8%A5%E0%B8%B9%E0%B9%88%E0%B9%84%E0%B8%97%E0%B8%A2-causeway-bay-thai-seafood-r588815
Sun Moon Church,Sun Moon Church,Kwun Tong / Taiwan / Noodles/Rice Noodles / $51-100,$51-100,899,17,mediaItemThumbnail,63719639,12:00 - 21:00,https://www.openrice.com/en/hongkong/r-sun-moon-church-kwun-tong-taiwan-noodles-rice-noodles-r682226
Poach,Poach,Mong Kok / Japanese / Western / $101-200,$101-200,754,52,mediaItemThumbnail,92209785,12:00 - 22:00,https://www.openrice.com/en/hongkong/r-poach-mong-kok-western-r657974
Gram Cafe & Pancakes,Gram Cafe & Pancakes,Tsim Sha Tsui / Western / Cake / $101-200,$101-200,1385,159,mediaItemThumbnail,23684588,11:30 - 23:00,https://www.openrice.com/en/hongkong/r-gram-cafe-pancakes-tsim-sha-tsui-western-cake-r561189
INN - I’m Not Nothing (裕民坊YM²),INN - I’m Not Nothing (裕民坊YM²),Kwun Tong / International / Coffee Shop / $101-200,$101-200,921,20,"mediaItemThumbnail, Dine and earn miles at this Cathay partner restaurant !",29888289,12:00 - 22:00,https://www.openrice.com/en/hongkong/r-inn-i-m-not-nothing-kwun-tong-international-r705247
Boholic,Boholic,Cheung Sha Wan / International / Coffee Shop / $101-200,$101-200,1484,47,mediaItemThumbnail,23883668,11:30 - 22:00,https://www.openrice.com/en/hongkong/r-boholic-cheung-sha-wan-international-r670110
Lady Nara,Lady Nara,Tsim Sha Tsui / Thai / $101-200,$101-200,871,27,mediaItemThumbnail,21533730,11:30 - 22:00,https://www.openrice.com/en/hongkong/r-lady-nara-tsim-sha-tsui-thai-r688973
JUST'er Bar & Restaurant,JUST'er Bar & Restaurant,Tsim Sha Tsui / Western / Seafood / $101-200,$101-200,1471,36,mediaItemThumbnail,23415628,12:00 - 23:00,https://www.openrice.com/en/hongkong/r-juster-bar-restaurant-tsim-sha-tsui-western-seafood-r621040
The Pearl,The Pearl,Tsim Sha Tsui / International / Hotel Restaurant / $201-400,$201-400,924,14,mediaItemThumbnail,53281503,12:00 - 02:00,https://www.openrice.com/en/hongkong/r-the-pearl-tsim-sha-tsui-international-r686455
Flames (海濱匯),Flames (海濱匯),Kwun Tong / International / $101-200,$101-200,976,23,mediaItemThumbnail,28976638,12:00 - 22:00,https://www.openrice.com/en/hongkong/r-flames-kwun-tong-international-r649544
Nara Thai Cuisine (港威商場),Nara Thai Cuisine (港威商場),Tsim Sha Tsui / Thai / $101-200,$101-200,742,18,mediaItemThumbnail,21533660,11:30 - 22:00,https://www.openrice.com/en/hongkong/r-nara-thai-cuisine-tsim-sha-tsui-thai-r690836
Doctor Beans,Doctor Beans,Kwun Tong / Taiwan / Taiwanese Drink / $51-100,$51-100,1175,29,mediaItemThumbnail,35759455,11:30 - 21:30,https://www.openrice.com/en/hongkong/r-doctor-beans-kwun-tong-taiwan-taiwanese-drink-r563292
Yuki House Ramen,Yuki House Ramen,Wan Chai / Japanese / Ramen / $51-100,$51-100,935,26,mediaItemThumbnail,28683091,11:00 - 16:0017:30 - 22:00,https://www.openrice.com/en/hongkong/r-yuki-house-ramen-wan-chai-japanese-ramen-r530978
Gekiyasu Yakiniku,Gekiyasu Yakiniku,Tsim Sha Tsui / Japanese / Wine / $401-800,$401-800,601,6,mediaItemThumbnail,98788065,12:00 - 16:0017:30 - 23:30,https://www.openrice.com/en/hongkong/r-gekiyasu-yakiniku-tsim-sha-tsui-japanese-wine-r691566
Tearapy,Tearapy,Mong Kok / International / Coffee Shop / $101-200,$101-200,1390,55,mediaItemThumbnail,29891707,12:00 - 22:00,https://www.openrice.com/en/hongkong/r-tearapy-mong-kok-international-r558545
Milu Thai มิลู่ไทย (百樂中心),Milu Thai มิลู่ไทย (百樂中心),Causeway Bay / Thai / Seafood / $101-200,$101-200,1378,14,"mediaItemThumbnail, Most Bookmarked restaurant No.3",28850060,12:00 - 22:30,https://www.openrice.com/en/hongkong/r-milu-thai-%E0%B8%A1%E0%B8%B4%E0%B8%A5%E0%B8%B9%E0%B9%88%E0%B9%84%E0%B8%97%E0%B8%A2-causeway-bay-thai-seafood-r588815
Sun Moon Church,Sun Moon Church,Kwun Tong / Taiwan / Noodles/Rice Noodles / $51-100,$51-100,899,17,mediaItemThumbnail,63719639,12:00 - 21:00,https://www.openrice.com/en/hongkong/r-sun-moon-church-kwun-tong-taiwan-noodles-rice-noodles-r682226
Poach,Poach,Mong Kok / Japanese / Western / $101-200,$101-200,754,52,mediaItemThumbnail,92209785,12:00 - 22:00,https://www.openrice.com/en/hongkong/r-poach-mong-kok-western-r657974
Gram Cafe & Pancakes,Gram Cafe & Pancakes,Tsim Sha Tsui / Western / Cake / $101-200,$101-200,1385,159,mediaItemThumbnail,23684588,11:30 - 23:00,https://www.openrice.com/en/hongkong/r-gram-cafe-pancakes-tsim-sha-tsui-western-cake-r561189
INN - I’m Not Nothing (裕民坊YM²),INN - I’m Not Nothing (裕民坊YM²),Kwun Tong / International / Coffee Shop / $101-200,$101-200,921,20,"mediaItemThumbnail, Dine and earn miles at this Cathay partner restaurant !",29888289,12:00 - 22:00,https://www.openrice.com/en/hongkong/r-inn-i-m-not-nothing-kwun-tong-international-r705247
Boholic,Boholic,Cheung Sha Wan / International / Coffee Shop / $101-200,$101-200,1484,47,mediaItemThumbnail,23883668,11:30 - 22:00,https://www.openrice.com/en/hongkong/r-boholic-cheung-sha-wan-international-r670110
Lady Nara,Lady Nara,Tsim Sha Tsui / Thai / $101-200,$101-200,871,27,mediaItemThumbnail,21533730,11:30 - 22:00,https://www.openrice.com/en/hongkong/r-lady-nara-tsim-sha-tsui-thai-r688973
JUST'er Bar & Restaurant,JUST'er Bar & Restaurant,Tsim Sha Tsui / Western / Seafood / $101-200,$101-200,1471,36,mediaItemThumbnail,23415628,12:00 - 23:00,https://www.openrice.com/en/hongkong/r-juster-bar-restaurant-tsim-sha-tsui-western-seafood-r621040
The Pearl,The Pearl,Tsim Sha Tsui / International / Hotel Restaurant / $201-400,$201-400,924,14,mediaItemThumbnail,53281503,12:00 - 02:00,https://www.openrice.com/en/hongkong/r-the-pearl-tsim-sha-tsui-international-r686455
Flames (海濱匯),Flames (海濱匯),Kwun Tong / International / $101-200,$101-200,976,23,mediaItemThumbnail,28976638,12:00 - 22:00,https://www.openrice.com/en/hongkong/r-flames-kwun-tong-international-r649544
Nara Thai Cuisine (港威商場),Nara Thai Cuisine (港威商場),Tsim Sha Tsui / Thai / $101-200,$101-200,742,18,mediaItemThumbnail,21533660,11:30 - 22:00,https://www.openrice.com/en/hongkong/r-nara-thai-cuisine-tsim-sha-tsui-thai-r690836
Doctor Beans,Doctor Beans,Kwun Tong / Taiwan / Taiwanese Drink / $51-100,$51-100,1175,29,mediaItemThumbnail,35759455,11:30 - 21:30,https://www.openrice.com/en/hongkong/r-doctor-beans-kwun-tong-taiwan-taiwanese-drink-r563292
Yuki House Ramen,Yuki House Ramen,Wan Chai / Japanese / Ramen / $51-100,$51-100,935,26,mediaItemThumbnail,28683091,11:00 - 16:0017:30 - 22:00,https://www.openrice.com/en/hongkong/r-yuki-house-ramen-wan-chai-japanese-ramen-r530978
Gekiyasu Yakiniku,Gekiyasu Yakiniku,Tsim Sha Tsui / Japanese / Wine / $401-800,$401-800,601,6,mediaItemThumbnail,98788065,12:00 - 16:0017:30 - 23:30,https://www.openrice.com/en/hongkong/r-gekiyasu-yakiniku-tsim-sha-tsui-japanese-wine-r691566
Tearapy,Tearapy,Mong Kok / International / Coffee Shop / $101-200,$101-200,1390,55,mediaItemThumbnail,29891707,12:00 - 22:00,https://www.openrice.com/en/hongkong/r-tearapy-mong-kok-international-r558545
Milu Thai มิลู่ไทย (百樂中心),Milu Thai มิลู่ไทย (百樂中心),Causeway Bay / Thai / Seafood / $101-200,$101-200,1378,14,"mediaItemThumbnail, Most Bookmarked restaurant No.3",28850060,12:00 - 22:30,https://www.openrice.com/en/hongkong/r-milu-thai-%E0%B8%A1%E0%B8%B4%E0%B8%A5%E0%B8%B9%E0%B9%88%E0%B9%84%E0%B8%97%E0%B8%A2-causeway-bay-thai-seafood-r588815
Sun Moon Church,Sun Moon Church,Kwun Tong / Taiwan / Noodles/Rice Noodles / $51-100,$51-100,899,17,mediaItemThumbnail,63719639,12:00 - 21:00,https://www.openrice.com/en/hongkong/r-sun-moon-church-kwun-tong-taiwan-noodles-rice-noodles-r682226
Poach,Poach,Mong Kok / Japanese / Western / $101-200,$101-200,754,52,mediaItemThumbnail,92209785,12:00 - 22:00,https://www.openrice.com/en/hongkong/r-poach-mong-kok-western-r657974
Gram Cafe & Pancakes,Gram Cafe & Pancakes,Tsim Sha Tsui / Western / Cake / $101-200,$101-200,1385,159,mediaItemThumbnail,23684588,11:30 - 23:00,https://www.openrice.com/en/hongkong/r-gram-cafe-pancakes-tsim-sha-tsui-western-cake-r561189
INN - I’m Not Nothing (裕民坊YM²),INN - I’m Not Nothing (裕民坊YM²),Kwun Tong / International / Coffee Shop / $101-200,$101-200,921,20,"mediaItemThumbnail, Dine and earn miles at this Cathay partner restaurant !",29888289,12:00 - 22:00,https://www.openrice.com/en/hongkong/r-inn-i-m-not-nothing-kwun-tong-international-r705247
Boholic,Boholic,Cheung Sha Wan / International / Coffee Shop / $101-200,$101-200,1484,47,mediaItemThumbnail,23883668,11:30 - 22:00,https://www.openrice.com/en/hongkong/r-boholic-cheung-sha-wan-international-r670110
Lady Nara,Lady Nara,Tsim Sha Tsui / Thai / $101-200,$101-200,871,27,mediaItemThumbnail,21533730,11:30 - 22:00,https://www.openrice.com/en/hongkong/r-lady-nara-tsim-sha-tsui-thai-r688973
JUST'er Bar & Restaurant,JUST'er Bar & Restaurant,Tsim Sha Tsui / Western / Seafood / $101-200,$101-200,1471,36,mediaItemThumbnail,23415628,12:00 - 23:00,https://www.openrice.com/en/hongkong/r-juster-bar-restaurant-tsim-sha-tsui-western-seafood-r621040
The Pearl,The Pearl,Tsim Sha Tsui / International / Hotel Restaurant / $201-400,$201-400,924,14,mediaItemThumbnail,53281503,12:00 - 02:00,https://www.openrice.com/en/hongkong/r-the-pearl-tsim-sha-tsui-international-r686455
Flames (海濱匯),Flames (海濱匯),Kwun Tong / International / $101-200,$101-200,976,23,mediaItemThumbnail,28976638,12:00 - 22:00,https://www.openrice.com/en/hongkong/r-flames-kwun-tong-international-r649544
Nara Thai Cuisine (港威商場),Nara Thai Cuisine (港威商場),Tsim Sha Tsui / Thai / $101-200,$101-200,742,18,mediaItemThumbnail,21533660,11:30 - 22:00,https://www.openrice.com/en/hongkong/r-nara-thai-cuisine-tsim-sha-tsui-thai-r690836
Doctor Beans,Doctor Beans,Kwun Tong / Taiwan / Taiwanese Drink / $51-100,$51-100,1175,29,mediaItemThumbnail,35759455,11:30 - 21:30,https://www.openrice.com/en/hongkong/r-doctor-beans-kwun-tong-taiwan-taiwanese-drink-r563292
Yuki House Ramen,Yuki House Ramen,Wan Chai / Japanese / Ramen / $51-100,$51-100,935,26,mediaItemThumbnail,28683091,11:00 - 16:0017:30 - 22:00,https://www.openrice.com/en/hongkong/r-yuki-house-ramen-wan-chai-japanese-ramen-r530978
Gekiyasu Yakiniku,Gekiyasu Yakiniku,Tsim Sha Tsui / Japanese / Wine / $401-800,$401-800,601,6,mediaItemThumbnail,98788065,12:00 - 16:0017:30 - 23:30,https://www.openrice.com/en/hongkong/r-gekiyasu-yakiniku-tsim-sha-tsui-japanese-wine-r691566
Tearapy,Tearapy,Mong Kok / International / Coffee Shop / $101-200,$101-200,1390,55,mediaItemThumbnail,29891707,12:00 - 22:00,https://www.openrice.com/en/hongkong/r-tearapy-mong-kok-international-r558545
Milu Thai มิลู่ไทย (百樂中心),Milu Thai มิลู่ไทย (百樂中心),Causeway Bay / Thai / Seafood / $101-200,$101-200,1378,14,"mediaItemThumbnail, Most Bookmarked restaurant No.3",28850060,12:00 - 22:30,https://www.openrice.com/en/hongkong/r-milu-thai-%E0%B8%A1%E0%B8%B4%E0%B8%A5%E0%B8%B9%E0%B9%88%E0%B9%84%E0%B8%97%E0%B8%A2-causeway-bay-thai-seafood-r588815
Sun Moon Church,Sun Moon Church,Kwun Tong / Taiwan / Noodles/Rice Noodles / $51-100,$51-100,899,17,mediaItemThumbnail,63719639,12:00 - 21:00,https://www.openrice.com/en/hongkong/r-sun-moon-church-kwun-tong-taiwan-noodles-rice-noodles-r682226
Poach,Poach,Mong Kok / Japanese / Western / $101-200,$101-200,754,52,mediaItemThumbnail,92209785,12:00 - 22:00,https://www.openrice.com/en/hongkong/r-poach-mong-kok-western-r657974
Gram Cafe & Pancakes,Gram Cafe & Pancakes,Tsim Sha Tsui / Western / Cake / $101-200,$101-200,1385,159,mediaItemThumbnail,23684588,11:30 - 23:00,https://www.openrice.com/en/hongkong/r-gram-cafe-pancakes-tsim-sha-tsui-western-cake-r561189
INN - I’m Not Nothing (裕民坊YM²),INN - I’m Not Nothing (裕民坊YM²),Kwun Tong / International / Coffee Shop / $101-200,$101-200,921,20,"mediaItemThumbnail, Dine and earn miles at this Cathay partner restaurant !",29888289,12:00 - 22:00,https://www.openrice.com/en/hongkong/r-inn-i-m-not-nothing-kwun-tong-international-r705247
Boholic,Boholic,Cheung Sha Wan / International / Coffee Shop / $101-200,$101-200,1484,47,mediaItemThumbnail,23883668,11:30 - 22:00,https://www.openrice.com/en/hongkong/r-boholic-cheung-sha-wan-international-r670110
Lady Nara,Lady Nara,Tsim Sha Tsui / Thai / $101-200,$101-200,871,27,mediaItemThumbnail,21533730,11:30 - 22:00,https://www.openrice.com/en/hongkong/r-lady-nara-tsim-sha-tsui-thai-r688973
JUST'er Bar & Restaurant,JUST'er Bar & Restaurant,Tsim Sha Tsui / Western / Seafood / $101-200,$101-200,1471,36,mediaItemThumbnail,23415628,12:00 - 23:00,https://www.openrice.com/en/hongkong/r-juster-bar-restaurant-tsim-sha-tsui-western-seafood-r621040
The Pearl,The Pearl,Tsim Sha Tsui / International / Hotel Restaurant / $201-400,$201-400,924,14,mediaItemThumbnail,53281503,12:00 - 02:00,https://www.openrice.com/en/hongkong/r-the-pearl-tsim-sha-tsui-international-r686455
Flames (海濱匯),Flames (海濱匯),Kwun Tong / International / $101-200,$101-200,976,23,mediaItemThumbnail,28976638,12:00 - 22:00,https://www.openrice.com/en/hongkong/r-flames-kwun-tong-international-r649544
Nara Thai Cuisine (港威商場),Nara Thai Cuisine (港威商場),Tsim Sha Tsui / Thai / $101-200,$101-200,742,18,mediaItemThumbnail,21533660,11:30 - 22:00,https://www.openrice.com/en/hongkong/r-nara-thai-cuisine-tsim-sha-tsui-thai-r690836
Doctor Beans,Doctor Beans,Kwun Tong / Taiwan / Taiwanese Drink / $51-100,$51-100,1175,29,mediaItemThumbnail,35759455,11:30 - 21:30,https://www.openrice.com/en/hongkong/r-doctor-beans-kwun-tong-taiwan-taiwanese-drink-r563292
Yuki House Ramen,Yuki House Ramen,Wan Chai / Japanese / Ramen / $51-100,$51-100,935,26,mediaItemThumbnail,28683091,11:00 - 16:0017:30 - 22:00,https://www.openrice.com/en/hongkong/r-yuki-house-ramen-wan-chai-japanese-ramen-r530978
